"""sources:""","""Food tables per country can be found at: https://www.fao.org/infoods/infoods/tables-and-databases/en/ ;""","""Pakistan: Food Composition Table for Pakistan (revised 2001). Department of Agricultural Chemistry and Human Nutrition, NWFP, Agricultural University Peshawar: UNICEF Islamabad; Ministry of Planning and Development, Government of Pakistan Islamabad - 2001. https://www.fao.org/fileadmin/templates/food_composition/documents/regional/Book_Food_Composition_Table_for_Pakistan_.pdf ;""","""India: Indian Food Composition Tables (2017). T. Longvah; R. Ananthan; K. Bhaskarachary; K. Venkaiah.
The PDF file can be downloaded from http://www.ifct2017.com/ ;""","""Bangladesh: Food Composition Table for Bangladesh - Nazma Shaheen, Abu Torab MA Rahim, Md. Mohiduzzaman, Cadi Parvin Banu, Md. Latiful Bari, Avonti Basak Tukun,  MA Mannan, Lalita Bhattacharjee, Barbara Stadlmayr. Institute of Nutrition and Food Science; Centre for Advanced Research in Sciences; University of Dhaka, Dhaka-1000, Bangladesh. 2013 (English). https://www.fao.org/fileadmin/templates/food_composition/documents/FCT_10_2_14_final_version.pdf - Excel version (slow in downloading): https://www.fao.org/fileadmin/templates/food_composition/documents/FCDB_7_4_14.xlsx ;""","""minimum and maximum total carotenoids in millets based on: V. T. Asharani, A. Jayadeep & N. G. Malleshi (2010) Natural Antioxidants in Edible Flours of Selected Small Millets, International Journal of Food Properties, 13:1, 41-50, DOI: 10.1080/10942910802163105 ; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NOTES:""","""all values expressed per 100g edible portion; ""","""minimum and maximum values were gathered from all sources; ""","""MINERALS: Calcium (mg), Iron (mg), Zinc (mg), Copper AI (mg), Magnesium (mg), Fluoride (mg), Iodine (micrag), Manganese (mg), Molybdenum (micrag), Phosphorus (mg), Potassium (mg), Selenium (micrag)""; ","""VITAMINS: Vitamin A or total provitamin A carotenoids (micrag), Vitamin B1 or Thiamine (mg), Vitamin B2 or Riboflavin (mg), Vitamin B3 or Niacin/Niacin Equivalent (mg), Vitamin B5 or Pantothenic acid (mg), Vitamin B6 (mg),  Vitamin B7 or Biotin (micrag), Vitamin B9 or total Folates (micrag), Vitamin B12 or Cobalamin (micrag), Vitamin C or ascorbic and L-dehydroascorbic acids (micrag),  Vitamin D including D2 or Ergocalciferol (micrag), Vitamin E or alfa-Tocopherol and equivalent (mg), Vitamin K or Phylloquinones (micrag), Choline (mg)"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""foodstuff types from row """,6,""" to """,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Foodstuff name in column """,1,"""; Food source scientific name in column ;",2,"""; Food group in column """,3,"""; edible portion (g/g) in column """,4,"""; minimum and maximum water (g) from column """,5,""" to """,6,"""; minimum and maximum energy (kJ) from column """,7,""" to """,8,"""; minimum and maximum total carbohydrates (g) from column """,9,""" to """,10,"""; minimum and maximum dietary fibre (g) from column """,11,""" to """,12,"""; minimum and maximum total fat (g) from column """,13,""" to """,14,"""; maximum and minimum protein (g) from column """,15,""" to """,16,"""; maximum and minimum of minerals from column """,17,""" to """,40,"""; maximum and minimum vitamins from column """,41,""" to """,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foodstuff name,source scientific name,foodstuff group,edible portion,water min,water max,energy min,energy max,carbohydrates min,carbohydrates max,fibre min,fibre max,fat min,fat max,protein min,protein max,Calcium min,Calcium max,Iron min,Iron max,Zinc min,Zinc max,Copper min,Copper max,Magnesium min,Magnesium max,Fluoride min,Fluoride max,Iodine min,Iodine max,Manganese min,Manganese max,Molybdenum min,Molybdenum max,Phosphorus min,Phosphorus max,Potassium min,Potassium max,Selenium min,Selenium max,Vitamin A min,Vitamin A max,Vitamin B1 min,Vitamin B1 max,Vitamin B2 min,Vitamin B2 max,Vitamin B3 min,Vitamin B3 max,Vitamin B5 min,Vitamin B5 max,Vitamin B6 min,Vitamin B6 max,Vitamin B7 min,Vitamin B7 max,Vitamin B9 min,Vitamin B9 max,Vitamin B12 min,Vitamin B12 max,Vitamin C min,Vitamin C max,Vitamin D min,Vitamin D max,Vitamin E min,Vitamin E max,Vitamin K min,Vitamin K max,Choline min,Choline max
amaranth seed_black,Amaranthus cruentus,cereals and millets,1,9.89,9.89,1490,1490,59.98,59.98,7.02,7.02,5.74,5.74,14.59,14.59,181,181,9.33,9.33,2.66,2.66,0.81,0.81,325,325,,,,,5.29,5.29,0.016,0.016,374,374,433,433,16.46,16.46,121,121,0.04,0.04,0.04,0.04,0.45,0.45,0.24,0.24,0.5,0.5,1.92,1.97,27.44,27.44,,,0,0,58.67,58.67,0.17,0.17,1.8,1.8,,
amaranth seed_pale brown,Amaranthus cruentus,cereals and millets,1,8.2,9.6,1479,1499,60.86,62.06,10.87,12.11,4.79,6.07,12.93,13.61,146.3,177.7,7.09,8.95,2.32,2.72,0.47,0.65,236.8,303.2,,,,,4.17,4.71,0.035,0.063,390,434,367.1,458.9,15.26,27.56,56.59,62.77,0.033,0.047,0.033,0.047,0.47,0.57,0.25,0.31,0.307,0.323,1.63,2.11,21.44,27.86,,,0,0,50.6,57.36,0.12,0.18,1.63,3.37,,
pearl millet-bajra_whole-grain_raw,Pennisetum typhoideum,cereals and millets,1,8.37,12.4,1438,1474,60.52,62.06,8.8,16.28,1.2,5,10.1,11.22,25.19,29.51,5.38,7.46,1.23,1.77,0.43,0.65,104.5,143.5,,,,,0.95,1.29,0.025,0.075,263.7,314.3,347,383,25.18,35.62,237.3,348.7,0.206,0.294,0.162,0.238,0.76,0.96,0.45,0.55,0.261,0.279,0.59,0.69,31.06,41.16,,,0,0,5.38,5.92,0.22,0.26,2.22,3.48,,
barley_whole-grain_raw,Hordeum vulgare,cereals and millets,1,9.39,12.5,1302,1360,56.4,62.06,15,17.3,1.1,2.2,10.43,12.5,25.15,32.13,1.41,1.71,1.23,2.77,0.26,0.6,42.87,133,,,,,1.13,1.35,0.027,0.037,151.2,264,247.6,452,17.29,19.93,40.99,98.75,0.301,0.47,0.15,0.21,2.76,7.8,0.12,0.16,0.284,0.336,2.27,2.49,27.79,35.37,,,0,0,0,0,0,0.9,1.06,2.64,,
sorghum-jowar_whole-grain_raw,Sorghum vulgare,cereals and millets,1,8.24,12,1385,1480,66.65,68.71,6.3,10.71,1.42,3.9,9.54,10.4,23.89,31.31,3.01,4.89,1.65,2.27,0.34,0.56,118.2,147.8,,,,,1.08,1.3,0.021,0.063,238.3,309.7,302.9,353.1,15.21,37.37,163.1,260.9,0.311,0.389,0.126,0.154,2.01,2.19,0.25,0.29,0.257,0.303,0.64,0.76,36.29,42.55,,,0,0,3.66,4.26,0.05,0.07,38.98,48.66,,
quinoa_whole-grain_raw,Chenopodium quinoa,cereals and millets,1,10.43,10.43,1374,1374,53.65,53.65,14.66,14.66,5.5,5.5,13.11,13.11,198,198,7.51,7.51,3.31,3.31,0.48,0.48,119,119,,,,,1.77,1.77,,,212,212,474,474,7.81,7.81,153,153,0.83,0.83,0.22,0.22,1.7,1.7,0.62,0.62,0.21,0.21,0.62,0.62,173,173,,,0,0,0,0,2.39,2.39,2,2,,
finger millet-ragi_whole-grain_raw,Eleusine coracana,cereals and millets,1,10.28,11.5,1332,1352,66.09,67.55,10.04,12.32,1.78,2.06,6.53,7.79,306,422,4.26,4.98,2.02,3.04,0.45,0.89,135.3,156.7,,,,,2.31,4.07,0.003,0.019,151.6,268.4,383.4,502.6,9.07,21.53,128.4,179.6,0.329,0.411,0.162,0.179,1.32,1.36,0.1,0.48,0.043,0.057,0.83,0.93,29.69,39.63,,,0,0,38.34,44.58,0.15,0.17,2.56,3.44,,
rice_brown_whole-grain_raw,Oryza sativa,cereals and millets,1,8.94,9.72,1470,1490,73.95,75.65,3.89,4.97,1.16,1.32,8.41,9.91,9.14,12.72,0.67,1.37,1.35,2.01,0.23,0.51,84.8,103.02,,,,,1.25,2.15,0.027,0.079,202.1,331.9,158.1,239.9,1.83,2.69,145.1,172.9,0.247,0.293,0.049,0.071,3.28,3.52,0.57,0.65,0.335,0.405,1.17,1.59,9.82,13.2,,,0,0,0,0,0.57,0.81,1.17,2.83,,
little millet-samai_whole-grain_raw,Panicum miliare,cereals and millets,1,11.17,11.55,1430,1458,64.26,66.84,6.8,8.64,3.54,4.24,9.68,10.58,14.52,17.6,1.88,2.8,1.68,1.96,0.26,0.42,78.78,104.04,,,,,0.15,0.31,0.01,0.03,102.5,157.5,89.3,120.7,16.32,64.5,43,129,0.218,0.302,0.042,0.058,1.27,1.31,0.53,0.67,0.035,0.045,5.46,6.6,29.16,43.24,,,0,0,2.95,4.55,0.39,0.71,4.09,4.85,,
kodo millet-varagu_whole-grain_raw,Paspalum scrobiculatum,cereals and millets,1,13.78,14.68,1378,1398,65,67.38,5.79,6.99,2.42,2.68,7.83,10.01,13.99,16.55,1.88,2.8,1.47,1.83,0.21,0.31,116.15,127.85,,,,,0.28,0.38,0.013,0.027,95.8,106.2,83.3,104.7,11.86,16.38,246.9,297.1,0.236,0.344,0.182,0.218,1.41,1.57,0.56,0.7,0.053,0.087,1.31,1.67,34.97,44.01,,,0,0,0,0,0.05,0.09,3.12,4.38,,
wheat_whole-grain_raw,Triticum aestivum,cereals and millets,1,9.47,11.69,1324,1370,62.98,66.46,10.46,12,1.42,1.52,9.99,11.19,33.71,45.01,3.19,4.75,0.001,0.009,0.37,0.61,110.2,139.8,,,,,2.6,3.78,0.043,0.103,273.2,356.8,306.4,425.6,41.8,53.72,246.5,327.5,0.393,0.527,0.109,0.191,2.49,2.87,0.87,1.29,0.224,0.296,0.45,1.61,26.3,33.88,,,0,0,13.98,21,0.42,1.12,1.49,2.01,,
proso millet-cheena_whole-grain_raw,Panicum miliaceum,cereals and millets,1,11.8,11.8,1450,1450,60.3,60.3,8.5,8.5,4.2,4.2,10.8,11.7,14,14,5,5,2.3,2.3,0.75,0.75,114,114,,,,,,,,,285,285,195,195,,,244,555,,,,,,,,,,,,,,,,,,,,,,,,,,
