"""sources:""","""EFSA's Dietary Reference Values for nutrients. https://efsa.onlinelibrary.wiley.com/doi/toc/10.1002/(ISSN)1831-4732.021217; specifically from tables in Summary report (2017): https://efsa.onlinelibrary.wiley.com/doi/pdf/10.2903/sp.efsa.2017.e15121""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NOTES:""","""reference body weight taken from Appendix B, Table18; ""","""nutrient values per day; some values were adapted from different age group structure, by averaging; AR is average requirement, PRI is population reference intake, RI is reference intake; pregnancy and lactation age groups are trimester and semester respectively; missing values for pregnancy and lactancy, or that are equivalent to the age grup default, are left empty; ""","""energy empty cells in Table 1 (see sources above) are filled with the closest value in the same age; age beyond 79 are filled with values given for the 70-79 group; energy values for pregnancy and lactancy are additional to the baseline consumption; ""","""water, total carbohydrates (glycaemic), fiber and total fat taken from Table 2; ""","""protein values are taken from Table 3; ""","""MINERALS: Calcium PRI (mg), Iron PRI (mg), Zinc PRI (mg), Copper AI (mg), Magnesium AI (mg), Fluoride AI (mg), Iodine AI (micrag), Manganese AI (mg), Molybdenum AI (micrag), Phosphorus AI (mg), Potassium AI (mg), Selenium AI (micrag)""; ","""minerals PRIs (Calcium, Iron, Zinc) and Ais (others) are taken from Tables 5 and 7; List of minerals with their units: Calcium PRI (mg), Iron PRI (mg), Zinc PRI (mg), Copper AI (mg), Magnesium AI (mg), Fluoride AI (mg), Iodine AI (micrag), Manganese AI (mg), Molybdenum AI (micrag), Phosphorus AI (mg), Potassium AI (mg), Selenium AI (micrag); zinc values for adults are set averaging values given for phytate daily intake between 300 and 1200 mg (in further expansion, the original values could be used, if phytates are tracked as well); zinc values in pregnancy and lactation are additional to baseline; iron values were asigned for women assuming menopause at 45 years old; "" ","""VITAMINS: Vitamin A or total provitamin A carotenoids (micrag), Vitamin B1 or Thiamine (mg), Vitamin B2 or Riboflavin (mg), Vitamin B3 or Niacin/Niacin Equivalent (mg), Vitamin B5 or Pantothenic acid (mg), Vitamin B6 (mg), Vitamin B7 or Biotin (micrag), Vitamin B9 or total Folates (micrag), Vitamin B12 or Cobalamin (micrag), Vitamin C or ascorbic and L-dehydroascorbic acids (micrag), Vitamin D including D2 or Ergocalciferol (micrag), Vitamin E or alfa-Tocopherol and equivalent (mg), Vitamin K or Phylloquinones (micrag), Choline (mg)"";","""vitamins PRIs (Folate, Niacin, Riboflavin, Thiamin, A, B6, C) and Ais (alpha-Tocopherol, Biotin, Choline, Cobalamin, Pantothenic acid, D, K) are taken from Table 10 and 12; list of vitamins and their units: alpha-Tocopherol AI (mg), Biotin AI (micrag), Choline AI (mg), Cobalamin AI (micrag), Folate PRI (micrag Dietary Folate Equivalents), Niacin PRI (micrag Niacin Equivalent/MJ), Pantothenic acid AI (mg), Riboflavin PRI (mg), Thiamin PRI (mg/MJ), Vitamin A PRI (micrag), Vitamin B6 PRI (mg), Vitamin C PRI (mg), Vitamin D AI (micrag), Vitamin K AI (micrag); Vitamin D values assume minimal cutaneous synthesis - else, low-to-none ingestion is required; """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""sex and age groups from row """,6,""" to """,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""; Sex in column """,1,Age (years old) in column ,2,"""; Reference body weight (Kg) in column """,3,"""; water RI (L) in column """,4,"""; energy AR (MJ) for PAL 1.4 to 2.0 from column """,5,""" to """,8,"""; minimum and maximum total carbohydrates RI (E%) from column """,9,""" to """,10,"""; dietary fibre RI (g) in column """,11,"""; minimum and maximum total fat RI (E%) from column """,12,""" to """,13,"""; protein AR (g/Kg of body weight) in column """,14,"""; protein PRI (g/Kg of body weight) in column """,15,"""; minerals from column """,16,""" to """,27,"""; vitamins from column """,28,""" to """,41,,,,,,,
sex,age,reference body weight,water,energy 1.4,energy 1.6,energy 1.8,energy 2.0,carbohydrates min,carbohydrates max,dietary fibre,fat min,fat max,protein AR,protein PRI,Calcium,Iron,Zinc,Copper,Magnesium,Fluoride,Iodine,Manganese,Molybdenum,Phosphorus,Potassium,Selenium,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline
female,0,7,0.9,2.55,2.55,2.55,2.55,0,0,0,40,40,1.12,1.31,280,11,2.9,0.4,80,0.4,70,0.25,10,160,750,15,250,0.1,0.4,1.6,3,0.3,6,80,1.5,20,10,5,10,160
female,1,11.5,1.15,3,3,3,3,45,60,10,35,40,0.85,1.14,450,7,4.3,0.7,170,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,6,12,140
female,2,11.5,1.3,4,4,4,4,45,60,10,35,40,0.79,1,450,7,4.3,0.7,170,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,6,12,140
female,3,11.5,1.3,4.6,4.6,4.6,4.6,45,60,10,35,40,0.73,0.9,450,7,4.3,1,230,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,9,12,140
female,4,18.7,1.6,4.9,5.6,6.3,6.3,45,60,14,20,35,0.69,0.86,800,7,5.5,1,230,0.9,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
female,5,18.7,1.6,5.2,5.9,6.7,6.7,45,60,14,20,35,0.69,0.85,800,7,5.5,1,230,0.9,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
female,6,18.7,1.6,5.5,6.3,7.1,7.1,45,60,14,20,35,0.72,0.89,800,7,5.5,1,230,0.9,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
female,7,28.4,1.6,5.8,6.7,7.5,7.5,45,60,16,20,35,0.74,0.91,800,11,7.4,1,230,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
female,8,28.4,1.6,6.2,7.1,7.9,7.9,45,60,16,20,35,0.75,0.92,800,11,7.4,1,230,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
female,9,28.4,1.9,6.6,7.5,8.4,8.4,45,60,16,20,35,0.75,0.92,800,11,7.4,1,230,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
female,10,28.4,1.9,7.6,7.6,8.6,9.5,45,60,16,20,35,0.75,0.91,800,11,7.4,1.1,250,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,11,30,250
female,11,45.1,1.9,8,8,9,10,45,60,19,20,35,0.73,0.9,1150,11,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,12,45.1,1.9,8.4,8.4,9.4,10.5,45,60,19,20,35,0.72,0.89,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,13,45.1,1.9,8.8,8.8,9.9,11,45,60,19,20,35,0.71,0.88,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,14,45.1,2,9.1,9.1,10.2,11.4,45,60,19,20,35,0.7,0.87,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,15,56.4,2,9.3,9.3,10.5,11.7,45,60,21,20,35,0.69,0.85,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,16,56.4,2,9.5,9.5,10.6,11.8,45,60,21,20,35,0.68,0.84,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,17,56.4,2,9.5,9.5,10.7,11.9,45,60,21,20,35,0.67,0.83,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,18,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,19,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,20,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,21,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,22,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,23,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,24,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,25,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,26,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,27,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,28,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,29,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,30,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,31,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,32,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,33,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,34,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,35,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,36,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,37,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,38,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,39,58.5,2,7.6,8.7,9.8,10.8,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,40,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,41,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,42,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,43,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,44,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,45,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,46,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,47,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,48,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,49,58.5,2,7.5,8.6,9.7,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,50,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,51,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,52,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,53,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,54,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,55,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,56,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,57,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,58,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,59,58.5,2,6.8,8.5,9.6,10.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,60,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,61,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,62,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,63,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,64,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,65,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,66,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,67,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,68,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,69,58.5,2,6.8,7.8,8.8,9.7,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,70,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,71,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,72,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,73,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,74,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,75,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,76,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,77,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,78,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,79,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,80,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,81,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,82,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,83,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,84,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,85,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,86,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,87,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
